priority,name,address,lat,lng,cuisine,google_maps_link,rating,review_count,added
0,Bosphore,"Brussels, Belgium",50.8673366,4.3635468,Turkish,"https://www.google.com/maps/search/Bosphore+Brussels,+Belgium",,,
0,Nammos,"Brussels, Belgium",50.857517,4.3843973,Greek,"https://www.google.com/maps/search/Nammos+Brussels,+Belgium",,,
0,Banh Mi Express,"Brussels, Belgium",50.8415677,4.3833192,Vietnamese,"https://www.google.com/maps/search/Banh+Mi+Express+Brussels,+Belgium",,,
0,Les Enfants du Pirée,"Brussels, Belgium",50.807214,4.3369488,Greek,"https://www.google.com/maps/search/Les+Enfants+du+Pirée+Brussels,+Belgium",,,
0,Café Asturiano,"Brussels, Belgium",50.8359473,4.3101254,Spanish,"https://www.google.com/maps/search/Café+Asturiano+Brussels,+Belgium",,,
0,Emirdag Köftecisi,"Brussels, Belgium",50.8592133,4.3781098,Turkish,"https://www.google.com/maps/search/Emirdag+Köftecisi+Brussels,+Belgium",,,
0,Insel,Stationsstraat 121,50.8841649,4.4711157,Greek,https://www.google.com/maps/search/Insel+Stationsstraat+121,,,
0,Al Khaima,"Brussels, Belgium",50.8702755,4.3731202,Moroccan,"https://www.google.com/maps/search/Al+Khaima+Brussels,+Belgium",,,
0,Casa Juan,"Brussels, Belgium",50.8326745,4.3888522,Spanish,"https://www.google.com/maps/search/Casa+Juan+Brussels,+Belgium",,,
0,Au Cœur Bleu,"Brussels, Belgium",50.778816,4.3253493,Greek,"https://www.google.com/maps/search/Au+Cœur+Bleu+Brussels,+Belgium",,,
0,Hông Loan,"Brussels, Belgium",50.8386874,4.3711685,Vietnamese,"https://www.google.com/maps/search/Hông+Loan+Brussels,+Belgium",,,
0,L’Atlantide,"Brussels, Belgium",50.8453105,4.3870336,Greek,"https://www.google.com/maps/search/L’Atlantide+Brussels,+Belgium",,,
0,Melya,"Brussels, Belgium",50.8232627,4.5134967,Greek,"https://www.google.com/maps/search/Melya+Brussels,+Belgium",,,
