osm_id,name,address,lat,lng,cuisine,google_rating,google_review_count,google_place_id,notes
1934971634,Chez Mathias & Loukas,"Brussels, Belgium",50.7944018,4.334236,Sandwich,,,,
1954025780,Snack Leuven,"Brussels, Belgium",50.8678991,4.4504558,Restaurant,,,,
1992003828,Testa Rossi,"Brussels, Belgium",50.8958493,4.434336,Italian,,,,
2016861497,Gaufre de Bruxelles,"Brussels, Belgium",50.8462618,4.3545181,Waffle,,,,
2060480521,Boba Bubble Tea,"Brussels, Belgium",50.8479852,4.3522516,Bubble_Tea,,,,
2082620964,Pitta Loca,"Brussels, Belgium",50.889617,4.337827,Kebab,,,,
2082628792,SkateSandwich,"Brussels, Belgium",50.8889296,4.3386972,Sandwich,,,,
2082643720,Au Lunch,"Brussels, Belgium",50.8888243,4.3388295,Kebab,,,,
2082800925,Belchicken,"Brussels, Belgium",50.8883081,4.3388001,Fried_Chicken,,,,
2087650947,Les potes en toque,"Brussels, Belgium",50.8762271,4.3145752,French,,,,
2119065566,Cakir,"Brussels, Belgium",50.8635568,4.3729417,Restaurant,,,,
2122303453,Relais de Paris,"Brussels, Belgium",50.8412094,4.3541486,Restaurant,,,,
2129516657,M2,Antoon Van Dijcklaan 24,50.887162,4.4739813,Sandwich,,,,
2136203982,Adria Grill,"Brussels, Belgium",50.8884539,4.4706682,Grill,,,,
2167729831,Sushioui,"Brussels, Belgium",50.8165419,4.3535935,Japanese,,,,
2167729845,Toucan sur Mer,"Brussels, Belgium",50.8197844,4.3586795,Restaurant,,,,
2167729856,Toucan,"Brussels, Belgium",50.8201468,4.3592968,Restaurant,,,,
2181861392,L'Auberg'In,"Brussels, Belgium",50.8331168,4.4481142,French,,,,
2183692520,The Green Pepper / Chez Malon,"Brussels, Belgium",50.8360361,4.3656667,Restaurant,,,,
2192151658,La Capannina,"Brussels, Belgium",50.8360028,4.2726902,Italian,,,,
2192841621,Da Lino,"Brussels, Belgium",50.8864779,4.4706531,Italian,,,,
2203600166,L'Atelier,"Brussels, Belgium",50.8225642,4.3538245,Sandwich,,,,
2213731071,L'Arrosoir,"Brussels, Belgium",50.8160114,4.4256643,Restaurant,,,,
