"Vestiging Uniek nr.";"Vestiging Naam";"Vestiging Straat";"Vestiging Huisnr.";"Vestiging Postcode";"Vestiging Gemeente";"Smiley code";"Smiley geldig tot";"Vandaag"
"2153048622";"Wzc Sint-Franciscus";"Heerdweg";"15";"9800";"Deinze";"2026NL00815";"2026/12/17 00:00:00";"2026/01/23 00:00:00"
"2026072751";"Budgetslager NV";"Steenweg";"16a";"3590";"Diepenbeek";"2026NL00769";"2026/12/26 00:00:00";"2026/01/23 00:00:00"
"2136484485";"Le Chalet du Pont de Bellheid";"Chemin de Belle Heid(Sart)";"15";"4845";"Jalhay";"2026FR00197";"2026/12/10 00:00:00";"2026/01/23 00:00:00"
"2259043688";"LUNCH GARDEN";"Avenue des Olympiades";"12";"1140";"Evere";"2026NF00016";"2026/06/21 00:00:00";"2026/01/23 00:00:00"
"2241237260";"IKEA MONS";"Place des Grands Prés";"1";"7000";"Mons";"2026FR00135";"2026/06/12 00:00:00";"2026/01/23 00:00:00"
"2331220004";"Atelier Charlier Vlaanderen CADIX";"Kattendijkdok-Oostkaai";"60";"2000";"Antwerpen";"2026NL00471";"2026/06/13 00:00:00";"2026/01/23 00:00:00"
"2047729782";"HENRION";"Place Verte";"42";"4800";"Verviers";"2026FR00134";"2026/05/17 00:00:00";"2026/01/23 00:00:00"
"2039383725";"MICHIELSEN NV";"Anselmostraat";"43";"2018";"Antwerpen";"2026NL00125";"2026/07/02 00:00:00";"2026/01/23 00:00:00"
"2073540591";"VLEESDISCOUNT RIJSELPOORT";"Rijselstraat";"202";"8900";"Ieper";"2026NL00128";"2026/06/27 00:00:00";"2026/01/23 00:00:00"
"2289517823";"Atelier Charlier - Jodoigne";"Chaussée de Wavre(Jod.)";"90";"1370";"Jodoigne";"2026FR00139";"2026/08/16 00:00:00";"2026/01/23 00:00:00"
"2258452780";"PANOS";"Turnhoutsebaan";"73";"2100";"Deurne";"2026NL00475";"2026/07/23 00:00:00";"2026/01/23 00:00:00"
"2289747752";"Bakkerij Aernoudt";"Slagmanstraat";"1";"9080";"Lochristi";"2026NL00077";"2026/08/17 00:00:00";"2026/01/23 00:00:00"
"2337375940";"Bakkerij Aernoudt Overmere";"Donklaan";"176";"9290";"Berlare";"2026NL00086";"2026/07/30 00:00:00";"2026/01/23 00:00:00"
"2289746861";"Bakkerij Aernoudt";"Kortemunt";"1";"9000";"Gent";"2026NL00078";"2026/08/17 00:00:00";"2026/01/23 00:00:00"
"2343709149";"Feniks Zarren";"Zarrenplein";"8";"8610";"Kortemark";"2026NL00083";"2026/07/30 00:00:00";"2026/01/23 00:00:00"
"2344591156";"Maurice";"Hugo Van der Goesstraat";"17";"9000";"Gent";"2026NL00080";"2026/07/30 00:00:00";"2026/01/23 00:00:00"
"2300047667";"Broodatelier Hoefkens";"Westerloseweg";"13 A";"2440";"Geel";"2026NL00081";"2026/07/30 00:00:00";"2026/01/23 00:00:00"
"2337375841";"Brocenter Bèta Baarle";"Baarledorpstraat";"55";"9031";"Gent";"2026NL00085";"2026/07/30 00:00:00";"2026/01/23 00:00:00"
"2334552052";"Brocenter Beta";"Sportstraat";"229";"9000";"Gent";"2026NL00084";"2026/07/30 00:00:00";"2026/01/23 00:00:00"
"2245673427";"Jurgen Maes";"Burrelstraat";"82";"9100";"Sint-Niklaas";"2026NL00651";"2026/09/05 00:00:00";"2026/01/23 00:00:00"
"2292262230";"Albert Heijn Silsburg";"Herentalsebaan";"691";"2100";"Antwerpen";"2026NL00239";"2026/09/24 00:00:00";"2026/01/23 00:00:00"
"2195367940";"POINT CHAUD BEN AHIN";"Avenue du Bosquet";"41/15";"4500";"Huy";"2026FR00395";"2026/10/25 00:00:00";"2026/01/23 00:00:00"
"2295230529";"BAKKERIJ DELLAFAILLE";"Nassaubrug";"zn";"2000";"Antwerpen";"2026NL00237";"2026/09/01 00:00:00";"2026/01/23 00:00:00"
"2258500686";"Point chaud";"Rue Saint-Gilles";"445";"4000";"Liège";"2026FR00396";"2026/10/12 00:00:00";"2026/01/23 00:00:00"
"2150349250";"SLAGERIJ LEANDER";"Lodorp";"34";"9880";"Aalter";"2026NL00656";"2026/09/20 00:00:00";"2026/01/23 00:00:00"
"2088145130";"FRUCTUS";"Grootzand (GRE)";"154";"9200";"Dendermonde";"2026NL00658";"2026/09/18 00:00:00";"2026/01/23 00:00:00"
"2115275634";"BIO-PLANET GENT";"Drongensesteenweg";"134";"9000";"Gent";"2026NL00429";"2026/10/22 00:00:00";"2026/01/23 00:00:00"
"2138409837";"LES PEUPLIERS";"Rue Jean Verkruyts";"23";"4681";"Hermalle-sous-Argenteau";"2026FR00156";"2026/12/17 00:00:00";"2026/01/23 00:00:00"
"2143804126";"Budgetslager NV";"Balendijk";"42";"3920";"Lommel";"2026NL00770";"2026/12/23 00:00:00";"2026/01/23 00:00:00"
"2138409441";"RESIDENCE CHC MEMBACH";"Rue du Pensionnat(MCH)";"7";"4837";"Baelen (Lg.)";"2026FR00157";"2026/12/17 00:00:00";"2026/01/23 00:00:00"
"2153141068";"Leiehome VZW";"Kloosterstraat";"9";"9031";"Gent";"2026NL00614";"2026/12/03 00:00:00";"2026/01/23 00:00:00"
"2029286520";"Verbeke, Geert";"Cadzandstraat";"14";"9112";"Sint-Niklaas";"2026NL00771";"2026/12/26 00:00:00";"2026/01/23 00:00:00"
"2036662973";"TAVERNE-BRASSERIE DEN HOORN";"Diepestraat";"21";"1880";"Kapelle-op-den-Bos";"2026NL00844";"2026/12/21 00:00:00";"2026/01/23 00:00:00"
"2127742807";"Colruyt Marcinelle";"Rue du Grand Pont";"16";"6001";"Marcinelle";"2026FR00508";"2026/12/20 00:00:00";"2026/01/23 00:00:00"
"2139396069";"OKAY BEAUMONT";"Chaussée Fernand Deliège(BT)";"50";"6500";"Beaumont";"2026FR00509";"2026/12/20 00:00:00";"2026/01/23 00:00:00"
"2149405578";"Aldi";"Ch.Château-de-Golzinnes,Isnes";"10";"5032";"Gembloux";"2026FR00458";"2026/12/16 00:00:00";"2026/01/23 00:00:00"
"2127750428";"Colruyt  Mechelen ";"Liersesteenweg";"351";"2800";"Mechelen";"2026NL00849";"2026/12/21 00:00:00";"2026/01/23 00:00:00"
"2142214217";"Carrefour Express Nieuwpoort";"Albert I laan";"213";"8620";"Nieuwpoort";"2026NL00618";"2026/12/16 00:00:00";"2026/01/23 00:00:00"
"2268204052";"Coussens, Sofie";"Sinaaistraat";"101";"9160";"Lokeren";"2026NL00144";"2026/12/21 00:00:00";"2026/01/23 00:00:00"
"2064667764";"CARREFOUR CINQUANTENAIRE";"Rue des Tongres";"42";"1040";"Etterbeek";"2026FR00462";"2026/12/20 00:00:00";"2026/01/23 00:00:00"
"2014084541";"RAYDOX";"Villerslei";"25";"2900";"Schoten";"2026NL00621";"2026/12/27 00:00:00";"2026/01/23 00:00:00"
"2196450974";"BAKKERIJ VERMEULEN ELS";"Meerdonkdorp(MD)";"5";"9170";"Sint-Gillis-Waas";"2026NL00819";"2026/12/25 00:00:00";"2026/01/23 00:00:00"
"2087998739";"Huyze Bosmans";"Oudestraat";"107";"3190";"Boortmeerbeek";"2026NL00820";"2026/12/25 00:00:00";"2026/01/23 00:00:00"
"2152023489";"Zeepreventorium Medisch-Pediatrisch Centrum - Mucoviscidoserevalidatiecentru- m";"Koninklijke Baan";"5";"8420";"De Haan";"2026NL00831";"2026/12/25 00:00:00";"2026/01/23 00:00:00"
"2035188177";"DISTRI BENATS NV";"Albert Biesmanslaan";"5";"1560";"Hoeilaart";"2026NL00250";"2026/08/08 00:00:00";"2026/01/23 00:00:00"
"2090561321";"ALDI";"Rue Zéphirin Fontaine(BIN)";"76";"7130";"Binche";"2027FR00149";"2027/03/03 00:00:00";"2026/01/23 00:00:00"
"2150784463";"Woon- en Zorgcentrum Onze-Lieve-Vrouw Gasthuis";"Ieperstraat";"130";"8970";"Poperinge";"2027NL00100";"2027/02/04 00:00:00";"2026/01/23 00:00:00"
"2151739617";"COLRUYT BREDENE";"Vloedstraat";"22";"8450";"Bredene";"2026NL00440";"2026/11/12 00:00:00";"2026/01/23 00:00:00"
"2150183063";"Sint-Carolus Mayerhof";"Fredericusstraat";"89";"2640";"Mortsel";"2028NL00558";"2028/10/06 00:00:00";"2026/01/23 00:00:00"
"2149611555";"Residentie Sint-Rafaël";"Kasteelstraat";"14";"1770";"Liedekerke";"2028NL00339";"2028/09/23 00:00:00";"2026/01/23 00:00:00"
"2362460536";"Quietas";"Bezenberg";"10";"1700";"Dilbeek";"2028NL00547";"2028/08/09 00:00:00";"2026/01/23 00:00:00"
"2265435097";"ALDI MARKT";"Koolmijnlaan";"26";"3550";"Heusden-Zolder";"2027NL00922";"2027/12/10 00:00:00";"2026/01/23 00:00:00"
"2055169781";"ALDI MARKT";"Steenweg(Gin)";"137";"3890";"Gingelom";"2027NL00916";"2027/11/08 00:00:00";"2026/01/23 00:00:00"
"2055168791";"ALDI MARKT";"Casterstraat";"31 A";"3500";"Hasselt";"2027NL00925";"2027/11/30 00:00:00";"2026/01/23 00:00:00"
"2055173048";"Aldi Markt";"Kaulillerweg";"6";"3950";"Bocholt";"2027NL00928";"2027/12/14 00:00:00";"2026/01/23 00:00:00"
"2176735824";"Rusthuis Heydehof";"Salesianenlaan";"55";"2660";"Antwerpen";"2027NL00583";"2027/12/03 00:00:00";"2026/01/23 00:00:00"
"2113511917";"Australian Home Made Ice Cream";"Meir";"60";"2000";"Antwerpen";"2028NL00460";"2028/06/27 00:00:00";"2026/01/23 00:00:00"
"2259188002";"bpost";"Chaussée de Vilvorde";"233";"1120";"Brussel";"2026NL00238";"2026/10/15 00:00:00";"2026/01/23 00:00:00"
"2229143340";"Stadsboerderij Kortrijk";"Stijn Streuvelslaan(Heu)";"45";"8501";"Kortrijk";"2026NL00657";"2026/09/18 00:00:00";"2026/01/23 00:00:00"
"2183131686";"Bioplanet Brugge";"Sint-Pieterskaai";"53";"8000";"Brugge";"2026NL00433";"2026/10/22 00:00:00";"2026/01/23 00:00:00"
"2077075450";"Deli Kaas";"Blommekens";"55";"9900";"Eeklo";"2026NL00430";"2026/10/21 00:00:00";"2026/01/23 00:00:00"
"2293580044";"AD Delhaize";"Postlaan";"7";"3400";"Landen";"2026NL00431";"2026/11/19 00:00:00";"2026/01/23 00:00:00"
"2347564603";"Buurtslagers";"Edgard Tinelstraat";"16-18";"9520";"Sint-Lievens-Houtem";"2026NL00615";"2026/12/04 00:00:00";"2026/01/23 00:00:00"
"2162720809";"POINT CHAUD";"Place Verte";"48";"4800";"Verviers";"2026FR00456";"2026/12/16 00:00:00";"2026/01/23 00:00:00"
"2206690216";"SPAR CORSICA";"Houwstraat";"137A";"2580";"Putte";"2026NL00616";"2026/12/27 00:00:00";"2026/01/23 00:00:00"
"2100308435";"WOLUWE ICE CREAM";"Boulevard de la Woluwe";"78";"1200";"Sint-Lambrechts-Woluwe";"2026NF00033";"2026/10/30 00:00:00";"2026/01/23 00:00:00"
"2046975756";"A.D. DELHAIZE";"Langestraat";"53";"9620";"Zottegem";"2026NL00845";"2026/12/13 00:00:00";"2026/01/23 00:00:00"
"2345493949";"BIO-Planet Hannut";"Route de Huy";"54";"4280";"Hannut";"2026FR00510";"2026/12/13 00:00:00";"2026/01/23 00:00:00"
"2101897750";"Schout, Filip";"Moorselbaan";"150";"9300";"Aalst";"2026NL00773";"2026/12/15 00:00:00";"2026/01/23 00:00:00"
"2147899011";"Colruyt Nimy";"Rue des Viaducs(N)";"287";"7020";"Nimy";"2026FR00511";"2026/12/21 00:00:00";"2026/01/23 00:00:00"
"2316131257";"ALDI";"Rue de la Corderie";"17";"7370";"Dour";"2026FR00457";"2026/12/10 00:00:00";"2026/01/23 00:00:00"
"2040266326";"AD DELHAIZE";"Rue du Cimetière";"5";"5070";"Fosses-la-Ville";"2026FR00461";"2026/12/11 00:00:00";"2026/01/23 00:00:00"
"2341733022";"Colruyt Edegem";"Hovestraat";"54/60";"2650";"Edegem";"2026NL00850";"2026/12/18 00:00:00";"2026/01/23 00:00:00"
"2298662250";"Okay Sleidinge";"Kwadeweg";"112";"9940";"Evergem";"2026NL00847";"2026/12/21 00:00:00";"2026/01/23 00:00:00"
"2146526163";"Bakkerij Demedts";"Sint-Jansstraat (W)";"70";"2910";"Essen";"2026NL00617";"2026/10/08 00:00:00";"2026/01/23 00:00:00"
"2127738451";"Colruyt Grimbergen";"Wolvertemsesteenweg";"248";"1850";"Grimbergen";"2026NL00846";"2026/12/20 00:00:00";"2026/01/23 00:00:00"
"2152859372";"Clinique Sans Souci";"Avenue de l'Exposition";"218";"1090";"Jette";"2026FR00459";"2026/12/16 00:00:00";"2026/01/23 00:00:00"
"2104587818";"Fortis Bank Warandeberg";"Rue Montagne du Parc";"3";"1000";"Brussel";"2026FR00460";"2026/12/13 00:00:00";"2026/01/23 00:00:00"
"2127734194";"Colruyt Overijse";"Brusselsesteenweg";"482A";"3090";"Overijse";"2026NL00848";"2026/12/20 00:00:00";"2026/01/23 00:00:00"
"2324021119";"LV Dailyretail";"Lidostraat";"7";"3970";"Leopoldsburg";"2026NL00622";"2026/12/19 00:00:00";"2026/01/23 00:00:00"
"2219793332";"BON'AP Ronse";"Avenue César Snoeck";"11";"9600";"Ronse/Renaix";"2026NL00619";"2026/12/10 00:00:00";"2026/01/23 00:00:00"
"2175712968";"Hypercarrefour B-Park Brugge";"Blankenbergse Steenweg";"420";"8000";"Brugge";"2026NL00620";"2026/12/20 00:00:00";"2026/01/23 00:00:00"
"2277571777";"Stadius Local";"Alfons Braeckmanlaan";"188";"9040";"Gent";"2026NL00823";"2026/12/25 00:00:00";"2026/01/23 00:00:00"
"2334306978";"De Kikker 17";"Stationsstraat(FEER)";"349+351";"8480";"Ichtegem";"2026NL00775";"2026/12/25 00:00:00";"2026/01/23 00:00:00"
"2280880467";"Bar Henri";"Handelslei";"2";"2960";"Brecht";"2026NL00821";"2026/12/25 00:00:00";"2026/01/23 00:00:00"
"2207321904";"Toon De Klerck";"Vijfstraten";"86-88";"9100";"Sint-Niklaas";"2026NL00818";"2026/12/25 00:00:00";"2026/01/23 00:00:00"
"2066340718";"Mainfreight Warehousing Oostende";"Zandvoordestraat";"405";"8400";"Oostende";"2026NL00827";"2026/12/25 00:00:00";"2026/01/23 00:00:00"
"2160560380";"Rustoord Mijlbeke";"Albrechtlaan";"119";"9300";"Aalst";"2026NL00824";"2026/12/25 00:00:00";"2026/01/23 00:00:00"
"2146207548";"COEUR D'ARTICHAUT CATERING EN EVENTS";"Molenwalstraat";"25";"9030";"Mariakerke";"2026NL00833";"2026/12/25 00:00:00";"2026/01/23 00:00:00"
"2160560875";"Woonzorgcentrum ""De Hopperank""";"Ninovesteenweg";"121";"9320";"Aalst";"2026NL00828";"2026/12/25 00:00:00";"2026/01/23 00:00:00"
"2298958891";"PANOS";"Grote Markt";"38";"2300";"Turnhout";"2026NL00777";"2026/12/25 00:00:00";"2026/01/23 00:00:00"
"2343130317";"De Kikker 12";"Koningin Astridstraat";"13";"8210";"Zedelgem";"2026NL00774";"2026/12/25 00:00:00";"2026/01/23 00:00:00"
"2298409159";"bakkerij verleysen";"Emiel Hertecantlaan(B)";"36";"9290";"Berlare";"2026NL00825";"2026/12/25 00:00:00";"2026/01/23 00:00:00"
"2188743731";"GB GRIVEGNEE 1727";"Rue de Herve";"461";"4030";"Liège";"2027FR00102";"2027/01/04 00:00:00";"2026/01/23 00:00:00"
"2293557278";"Buurtslagers";"Albrechtlaan";"54";"9300";"Aalst";"2026NL00624";"2026/11/11 00:00:00";"2026/01/23 00:00:00"
"2183258974";"Colruyt Nieuwpoort";"Jozef Cardijnlaan";"33";"8620";"Nieuwpoort";"2026NL00436";"2026/10/22 00:00:00";"2026/01/23 00:00:00"
"2312963812";"RETAIL ACHTERBROEK";"Kalmthoutsesteenweg (Ab)";"381";"2920";"Kalmthout";"2027NL00099";"2027/01/17 00:00:00";"2026/01/23 00:00:00"
"2093364522";"SPAR OELEGEM";"Schildesteenweg";"28";"2520";"Ranst";"2026NL00445";"2026/11/13 00:00:00";"2026/01/23 00:00:00"
"2247484159";"Crystal Computing";"Parc Industr. Ghlin-Baudour Sud";"100";"7331";"Saint-Ghislain";"2027FR00606";"2027/10/20 00:00:00";"2026/01/23 00:00:00"
"2217148103";"BUURTWINKELS OKAY";"Voskenslaan";"228";"9000";"Gent";"2028NL00467";"2028/07/10 00:00:00";"2026/01/23 00:00:00"
"2213719449";"ACW Bertrix";"Route des Gohineaux";"2";"6880";"Bertrix";"2028FR00239";"2028/10/27 00:00:00";"2026/01/23 00:00:00"
"2320942556";"ACW Theux";"Avenue Reine Astrid";"15/13";"4910";"Theux";"2028FR00238";"2028/10/17 00:00:00";"2026/01/23 00:00:00"
"2329865566";"Bakkerij Lars";"Dorpsstraat";"5";"9870";"Zulte";"2028NL00340";"2028/09/23 00:00:00";"2026/01/23 00:00:00"
"2153684565";"Vrije Lagere School";"Prinses Elisabethlaan";"1";"8450";"Bredene";"2028NL00900";"2028/12/16 00:00:00";"2026/01/23 00:00:00"
"2188701268";"Panos Rail Gent Dampoort";"Oktrooiplein";"10";"9000";"Gent";"2027NL00564";"2027/11/22 00:00:00";"2026/01/23 00:00:00"
"2150739824";"Campus Maria Middelares";"Buitenring-Sint-Denijs";"30";"9000";"Gent";"2027NL00387";"2027/11/06 00:00:00";"2026/01/23 00:00:00"
"2201394313";"Bakkerij Molly";"Jozef Duthoystraat";"108";"8790";"Waregem";"2027NL00388";"2027/11/06 00:00:00";"2026/01/23 00:00:00"
"2051521888";"WESTVLEES N.V.";"Ommegang West(WRB)";"9";"8840";"Staden";"2028NL00577";"2028/01/26 00:00:00";"2026/01/23 00:00:00"
"2188701565";"Panos Rail Antwerpen II";"Pelikaanstraat";"3";"2018";"Antwerpen";"2028NL00528";"2028/05/05 00:00:00";"2026/01/23 00:00:00"
"2150717850";"Panos Louvain-la-Neuve";"Place de l'Accueil";"10";"1348";"Ottignies-Louvain-la-Neuve";"2028FR00224";"2028/05/05 00:00:00";"2026/01/23 00:00:00"
"2109500867";"ALDI MARKT";"Assesteenweg";"106";"1740";"Ternat";"2027NL00911";"2027/12/10 00:00:00";"2026/01/23 00:00:00"
"2055169286";"ALDI MARKT";"Hendrik van Veldekesingel";"1C";"3500";"Hasselt";"2027NL00924";"2027/11/30 00:00:00";"2026/01/23 00:00:00"
"2221649495";"ALDI MARKT";"Molenstraat";"11";"3990";"Peer";"2027NL00920";"2027/11/28 00:00:00";"2026/01/23 00:00:00"
"2029920483";"ALDI MARKT";"Lostraat";"81";"9880";"Aalter";"2027NL00901";"2027/10/30 00:00:00";"2026/01/23 00:00:00"
"2055168197";"ALDI NV BERINGEN";"Koolmijnlaan";"400";"3580";"Beringen";"2027NL00929";"2027/10/29 00:00:00";"2026/01/23 00:00:00"
"2003787891";"ALDI NV ";"Geelsebaan";"64";"2460";"Kasterlee";"2027NL00935";"2027/11/08 00:00:00";"2026/01/23 00:00:00"
"2003774530";"ALDI NV ";"Bethovenstraat";"59";"2960";"Brecht";"2027NL00932";"2027/12/27 00:00:00";"2026/01/23 00:00:00"
"2133121852";"ALDI MARKT";"Sint Jansstraat(STA)";"114-116";"8840";"Staden";"2027NL00903";"2027/11/15 00:00:00";"2026/01/23 00:00:00"
"2055170969";"ALDI MARKT";"Gouden Kruispunt";"86";"3390";"Tielt-Winge";"2027NL00913";"2027/12/13 00:00:00";"2026/01/23 00:00:00"
"2003773243";"ALDI NV ";"Terninckstraat";"13";"2000";"Antwerpen";"2027NL00933";"2027/12/27 00:00:00";"2026/01/23 00:00:00"
"2109503045";"ALDI MARKT";"Kapiteintjesstraat";"17";"9300";"Aalst";"2027NL00914";"2027/12/19 00:00:00";"2026/01/23 00:00:00"
"2137395691";"ALDI MARKT";"Itegemse Steenweg";"68";"2270";"Herenthout";"2027NL00934";"2027/10/17 00:00:00";"2026/01/23 00:00:00"
"2003787101";"ALDI MARKT";"Veedijk";"49";"2300";"Turnhout";"2026NL00627";"2026/03/22 00:00:00";"2026/01/23 00:00:00"
